City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
511,Panama City,PA,76.17,broken clouds,8.9936,-79.5197,Riande Urban Hotel
515,Wattegama,LK,76.12,broken clouds,6.7989,81.4808,
516,Santa Luzia,BR,76.28,clear sky,-19.7697,-43.8514,Pousada Chao Earth
520,Kahului,US,86.02,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
521,Lincoln,US,81.9,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
522,Acarau,BR,78.55,clear sky,-2.8856,-40.12,castelo pizzaria
526,Havelock,US,76.95,clear sky,34.8791,-76.9013,Sherwood Motel
527,Laguna De Perlas,NI,79.56,overcast clouds,12.3429,-83.6712,Hotel Best View
530,Springfield,US,75.9,clear sky,37.2153,-93.2982,University Plaza Hotel & Convention Center
534,Franklin Lakes,US,78.64,scattered clouds,41.0168,-74.2057,Bogert's Ranch Estates Inc
535,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
536,Champerico,GT,83.77,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
537,Alugan,PH,82.24,light rain,12.2188,125.4808,JM Lodge
538,Adrar,MR,84.9,broken clouds,20.5022,-10.0711,
540,Melchor De Mencos,GT,78.8,clear sky,17.0686,-89.1522,Xultun Farm
542,Urumqi,CN,76.15,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
544,Sulangan,PH,82.98,scattered clouds,11.1373,123.7228,Maia's Beach Resort
548,Mae Hong Son,TH,78.94,broken clouds,19.3003,97.9685,Baiyoke Chalet Hotel
549,Mango,US,81.32,clear sky,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
552,Santa Rosalia,MX,83.93,few clouds,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
554,Del Rio,US,82.51,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
558,Loiza,PR,80.6,clear sky,18.4313,-65.8802,Malibu Beachfront
560,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
564,Buala,SB,83.55,light rain,-8.145,159.5921,Maringe Lagoon Lodge
569,Kununurra,AU,84.18,scattered clouds,-15.7667,128.7333,Hotel Kununurra
575,Alyangula,AU,84.07,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
576,Jalu,LY,77.09,clear sky,29.0331,21.5482,صاحبة الفخامة
579,Sur,OM,80.67,clear sky,22.5667,59.5289,Sur Plaza Hotel
583,Puerto Quijarro,BO,85.5,scattered clouds,-17.7833,-57.7667,Hotel palance
584,Port Hedland,AU,89.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
588,Cabo San Lucas,MX,87.1,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
589,Varkkallai,IN,80.38,overcast clouds,8.7341,76.7067,SPOT ON 72723 Pathanjali Ayurveda Yoga Centre( Dreams Beach Resort)
594,Puqi,CN,89.38,scattered clouds,29.7167,113.8833,Ramada Plaza Chibi
597,Itacoatiara,BR,75.87,scattered clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
599,Kirksville,US,77.05,clear sky,40.1948,-92.5833,Budget Host-Village Inn
608,Tucumcari,US,85.84,few clouds,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
609,Cravo Norte,CO,77.58,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
610,Hami,CN,76.14,clear sky,42.8,93.45,Laoyutang Resort
613,Westport,US,76.98,clear sky,41.1415,-73.3579,The Westport Inn
617,Acapulco,MX,78.71,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
618,Itarema,BR,78.44,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
620,Lorengau,PG,83.8,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
621,Banjar,ID,82.26,few clouds,-8.19,114.9675,The Hamsa Resort
622,Bowen,AU,77.22,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
625,Manado,ID,88.57,few clouds,1.487,124.8455,Aryaduta Hotel
630,Sao Filipe,CV,78.98,broken clouds,14.8961,-24.4956,Hotel Xaguate
631,Jennings,US,81.37,clear sky,38.7192,-90.2604,First Western Inn
634,Chas,IN,80.6,overcast clouds,23.6333,86.1667,Hotel Vaibhav
637,Angoram,PG,83.7,overcast clouds,-4.0625,144.0661,
638,Dores Do Indaia,BR,75.27,overcast clouds,-19.4633,-45.6017,Hotel Central Dorense
642,Kupang,ID,88.38,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
647,Abnub,EG,75.42,clear sky,27.2696,31.1511,Romany Adly Gad
651,Banda Aceh,ID,80.65,overcast clouds,5.5577,95.3222,Sulthan Hotel International
658,Shingu,JP,83.39,overcast clouds,33.7333,135.9833,Shingu UI Hotel
661,Porto Novo,BJ,78.62,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
664,High Rock,BS,80.62,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
666,Rincon,US,79.86,scattered clouds,32.296,-81.2354,Days Inn Rincon
668,Sinnamary,GF,78.35,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
671,Elizabeth City,US,75.99,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
675,Deming,US,89.49,clear sky,32.2687,-107.7586,Best Western Deming Southwest Inn
